,keyword,lang,conf
0,gurken einwecken,de,0.9672968716022431
1,gurken pflanzen,nl,0.6114919553485875
2,gurkenpflanzen pflegen,nl,0.517123847364296
3,gurkensalat dill,nl,0.930212363035154
4,gurkensuppe kalt,nl,0.6812576009737418
5,Gurktaler Vz,de,0.36609091838988833
6,gustav büsing,et,0.9375759682451533
7,gute besserung,de,0.9998801493218895
8,gute handyspiele 2015,et,0.8130194176016771
9,gute spiele für android,de,0.9999999999998737
10,guzmania pflege,pl,0.975910479589345
11,gwen stefani,de,0.3580170175174784
12,gwxux funktioniert nicht mehr,de,0.9999998355882106
13,gwxux funktioniert nicht mehr AS,de,0.9999998355882106
14,gwyneth paltrow,cy,0.5956171915499477
15,gyros rezept,lt,0.37753231447988833
16,gzsz news,hu,0.4894574542931036
17,gzsz vince und sunny,de,0.9620848610234056
18,gzsz vorschau,de,0.9999982657747346
19,höchstgeschwindigkeit österreich,de,1.0
20,höchstsatz arbeitslosengeld,de,0.9999999999983697
21,höhe mutterschaftsgeld,de,0.9999999677536121
22,hähnchen curry,de,0.999554921432763
23,hähnchen im backofen,de,0.9999999994073134
24,hähnchenschenkel grillen,de,0.9999997618981186
25,häkelanleitung kostenlos,de,0.9999716002656095
26,häkelanleitung tiere,de,0.9999957338430757
27,häkeln für anfänger,de,0.9999999998332387
28,häkeln lernen,fi,0.9861499480101121
29,hände schlafen ein,de,0.9999999999999998
30,häufiges wasserlassen,de,0.9999683461769704
31,hüftspeck abnehmen,de,0.9992146992605581
32,hühnerauge hausmittel,de,0.9999915590150823
33,hühnerstall selber bauen,de,0.9999999988774466
34,haarausfall forum,en,0.8593212603251653
35,haarausfall nach der geburt,de,0.999660866839371
36,haarausfall nach der schwangerschaft,de,0.9999980672572695
37,haarausfall nach schwangerschaft,de,0.9999865153928548
38,haarausfall stillzeit,de,0.9931067458985592
39,haarbürste reinigen,de,0.999999479447304
40,haare brechen ab,de,0.9869455247031315
41,haare entfärben,sv,0.8187751891554408
42,haare entfernen,nl,0.6312780498128602
43,haare färben,sv,0.9927466794006995
44,haare färben in der schwangerschaft,de,0.9999999999999989
45,haare färben schwanger,de,0.9999991871924258
46,haare flechten,nl,0.9842258386543379
47,haare schneiden mond,nl,0.7197445331206088
48,haare schneiden mondkalender,nl,0.7802419864865954
49,haare schneiden nach dem mond,de,0.9999766601067162
50,haareschneiden nach dem mond,de,0.9999509808339238
51,haarfarbe von der haut entfernen,de,0.9999998529536235
52,haarfarbe von haut entfernen,de,0.9999884369286871
53,haarschnitte für feines haar,de,1.0
54,hackfleisch rezepte,de,0.9985031777371829
55,hainbuche schneiden,de,0.9759540601815951
56,hainbuchenhecke schneiden,de,0.999890672143888
57,halbmarathon trainingsplan,en,0.9021910988209362
58,hallux valgus operation AS,et,0.7234700197322638
59,halsschmerzen gehen nicht weg,de,0.9999999999999982
60,halsschmerzen hausmittel,de,0.9999998774817603
61,halsschmerzen was tun,de,0.9995067423800882
62,halswickel bei halsschmerzen,de,0.9999999683905315
63,hamburg mit kindern,de,0.560818847688972
64,handy games 2015,en,0.16946150595865334
65,handy orten,en,0.8223053292275883
66,handy spiele 2015,de,0.4826689896174699
67,handy wird heiß,de,0.9965438552114855
68,Handybilder kostenlos,da,0.2774648401764353
69,hanfpalme pflege,es,0.2138273433958176
70,hang seng,id,0.46956183465384654
71,hangouts angehalten,de,0.9416886384819086
72,hanka rackwitz,eu,0.6398724652694769
73,hannes jaenicke,fr,0.8488771467650139
74,hannover 96,en,0.41061396709606135
75,hannover 96 spielplan,en,0.41061396709606135
76,hansa rostock,fi,0.7999917112130198
77,hansapark 2 für 1 gutschein,de,1.0
78,harry potter neuer film,en,0.8543094188881966
79,harry styles,en,0.8287173515771225
80,hart aber herzlich,de,0.9999988755044109
81,harter bauch,de,0.9974882023148209
82,harter stuhlgang,de,0.5919110258350198
83,harter stuhlgang was tun,tl,0.7342879323738539
84,hartgekochtes ei,de,0.9977375976161731
85,hartriegel schneiden,de,0.9937386619909931
86,hartz 4,eu,0.7891080125576769
87,hartz 4 AS,eu,0.7891080125576769
88,hartz 4 aufstockung,de,0.9999999661686803
89,hartz 4 miete,lv,0.6472205366710998
90,hartz 4 rechner,de,0.9170806501448522
91,hartz 4 satz,eu,0.9985710818963168
92,hartz 4 urlaub,eu,0.7729346567967998
93,hartz 4 wieviel,de,0.8548612772528573
94,hartz4 nachrichten,de,0.999999999978286
95,harvest moon,et,0.3025278124935471
96,harvest moon ds cheats,nl,0.6052772864802788
97,harz aus kleidung,de,0.9999987508901296
98,harz aus kleidung entfernen,de,0.9999999609298631
99,harz entfernen,pl,0.7105251029120251
100,harzflecken entfernen,nl,0.9559812827177359
101,hasenställe günstig m,de,0.5059349903803625
102,hasenstall bauen,en,0.9483756046660721
103,hasenstall isoliert 32,en,0.7784254414213322
104,hauptstädte europa,de,0.8853921645690964
105,hauptstädte europas,de,0.8853921645690964
106,hausgarten forum,de,0.969440914282021
107,haushaltshilfe nach geburt,de,0.9999996543754193
